age,sex,webhltbeh,wwwhr,happy,health,life
45.0,female,,,pretty happy,excellent,
28.0,female,,,pretty happy,excellent,
23.0,male,,,not too happy,fair,
64.0,male,,,pretty happy,good,
33.0,female,,,pretty happy,good,
69.0,female,,,very happy,fair,
72.0,male,,,pretty happy,excellent,
59.0,male,,,pretty happy,good,
69.0,female,,,very happy,good,
58.0,female,,,pretty happy,good,
53.0,male,,,pretty happy,fair,
62.0,male,,,very happy,fair,
58.0,male,,,pretty happy,good,
32.0,female,,,pretty happy,good,
58.0,female,,,pretty happy,fair,
70.0,female,,,pretty happy,fair,
69.0,male,,,pretty happy,good,
36.0,male,,,pretty happy,excellent,
47.0,male,,,pretty happy,fair,
31.0,male,,,pretty happy,excellent,
81.0,female,,,pretty happy,fair,
24.0,male,,,pretty happy,good,
51.0,female,,,pretty happy,fair,
69.0,female,,,not too happy,poor,
30.0,female,,,very happy,good,
69.0,male,,,pretty happy,fair,
45.0,male,,,not too happy,fair,
24.0,male,,,pretty happy,good,
66.0,male,,,very happy,good,
29.0,female,,,not too happy,good,
57.0,female,,,not too happy,good,
58.0,male,,,very happy,excellent,
77.0,male,,,pretty happy,fair,
30.0,female,,,very happy,excellent,
56.0,female,,,pretty happy,good,
49.0,female,,,pretty happy,good,
52.0,female,,,pretty happy,good,
40.0,male,,,pretty happy,excellent,
48.0,male,,,pretty happy,good,
47.0,female,,,pretty happy,fair,
31.0,male,,,very happy,excellent,
21.0,male,,,pretty happy,good,
84.0,female,,,not too happy,poor,
61.0,female,,,pretty happy,fair,
46.0,female,,,pretty happy,good,
39.0,female,,,not too happy,good,
64.0,female,,,pretty happy,good,
77.0,male,,,pretty happy,poor,
25.0,male,,,pretty happy,excellent,
53.0,male,,,pretty happy,good,
52.0,male,,,pretty happy,good,
71.0,male,,,pretty happy,fair,
52.0,male,,,very happy,good,
57.0,male,,,very happy,good,
69.0,female,,,very happy,good,
74.0,female,,,pretty happy,fair,
58.0,female,,,pretty happy,fair,
23.0,female,,,very happy,good,
61.0,female,,,very happy,fair,
60.0,female,,,pretty happy,fair,
36.0,female,,,pretty happy,good,
58.0,male,,,pretty happy,good,
28.0,male,,,pretty happy,good,
29.0,male,,,not too happy,good,
25.0,male,,,very happy,good,
57.0,male,,,pretty happy,fair,
26.0,female,,,very happy,excellent,
55.0,male,,,pretty happy,good,
29.0,female,,,very happy,good,
68.0,female,,,very happy,good,
18.0,female,,,very happy,good,
49.0,male,,,pretty happy,good,
64.0,male,,,very happy,fair,
38.0,male,,,pretty happy,good,
30.0,male,,,pretty happy,excellent,
56.0,female,,,pretty happy,fair,
20.0,female,,,pretty happy,fair,
19.0,male,,,pretty happy,good,
50.0,female,,,very happy,fair,
38.0,male,,,very happy,good,
64.0,female,,,pretty happy,good,
74.0,female,,,not too happy,fair,
75.0,female,,,pretty happy,good,
22.0,male,,,not too happy,fair,
75.0,male,,,,fair,
23.0,female,,,pretty happy,good,
79.0,female,,,pretty happy,fair,
60.0,male,,,pretty happy,good,
26.0,male,,,pretty happy,good,
63.0,male,,,very happy,fair,
63.0,female,,,pretty happy,good,
34.0,female,,,very happy,excellent,
33.0,male,,,very happy,fair,
53.0,male,,,pretty happy,good,
78.0,male,,,very happy,excellent,
22.0,female,,,pretty happy,fair,
32.0,male,,,pretty happy,excellent,
27.0,male,,,pretty happy,good,
35.0,female,,,pretty happy,good,
39.0,female,,,pretty happy,good,
24.0,female,,,pretty happy,good,
22.0,female,,,pretty happy,excellent,
28.0,male,,,pretty happy,good,
